,stock,date,neg,neu,pos,compound,open,high,low,close,adj close,volume
0,AAPL,2023-10-01,0.0605,0.8815,0.0575,-0.4582,171.220001,174.300003,170.929993,173.75,173.521393,52164500.0
1,AAPL,2023-10-02,0.041,0.893,0.066,0.2672,171.220001,174.300003,170.929993,173.75,173.521393,52164500.0
2,AAPL,2023-10-03,0.0215,0.908,0.0705,0.9749,172.259995,173.630005,170.820007,172.399994,172.173172,49594600.0
3,AAPL,2023-10-04,0.017,0.883,0.1,0.9827,171.089996,174.210007,170.970001,173.660004,173.431519,53020300.0
4,AAPL,2023-10-05,0.018,0.8855,0.0965,0.9552,173.789993,175.449997,172.679993,174.910004,174.679871,48527900.0
5,AAPL,2023-10-06,0.0365,0.819,0.144,0.9986,173.800003,177.990005,173.179993,177.490005,177.256485,57224100.0
6,AAPL,2023-10-07,0.016,0.848,0.136,0.9996,174.80333466666667,178.34333766666666,174.05332966666666,177.990005,177.75582366666666,52279666.66666666
7,AAPL,2023-10-08,0.014,0.8985,0.087,0.9927,175.80666633333334,178.69667033333334,174.92666633333334,178.490005,178.25516233333337,47335233.333333336
8,AAPL,2023-10-09,0.014,0.8705,0.1145,0.9926,176.809998,179.050003,175.800003,178.990005,178.754501,42390800.0
9,AAPL,2023-10-10,0.0475,0.843,0.109,0.409,178.100006,179.720001,177.949997,178.389999,178.155289,43698000.0
10,AAPL,2023-10-11,0.0775,0.862,0.0605,-0.4294,178.199997,179.850006,177.600006,179.800003,179.563431,47551100.0
11,AAPL,2023-10-12,0.048,0.8905,0.0615,0.5066,180.070007,182.339996,179.039993,180.710007,180.472244,56743100.0
12,AAPL,2023-10-13,0.048,0.8905,0.0615,0.5066,181.419998,181.929993,178.139999,178.850006,178.614685,51427100.0
13,AAPL,2023-10-14,0.0385,0.865,0.0965,0.9893,179.863332,180.979996,177.59666433333334,178.806671,178.571411,51790400.0
14,AAPL,2023-10-15,0.048,0.856,0.0955,0.9822,178.306666,180.029999,177.05332966666666,178.763336,178.528137,52153700.0
15,AAPL,2023-10-16,0.0925,0.8075,0.1,0.005,176.75,179.080002,176.509995,178.720001,178.484863,52517000.0
16,AAPL,2023-10-17,0.004,0.8905,0.1055,0.9975,176.649994,178.419998,174.800003,177.149994,176.916916,57549400.0
17,AAPL,2023-10-18,0.0385,0.857,0.105,0.2971,175.580002,177.580002,175.110001,175.839996,175.608643,54764400.0
18,AAPL,2023-10-19,0.025,0.848,0.127,0.9651,176.039993,177.839996,175.190002,175.460007,175.229156,59302900.0
19,AAPL,2023-10-20,0.025,0.848,0.127,0.9651,175.309998,175.419998,172.639999,172.880005,172.652542,64189300.0
20,AAPL,2023-10-21,0.0115,0.893,0.096,0.9934,173.84333333333333,174.949997,171.73666366666666,172.92000333333334,172.6924896666667,61452900.0
21,AAPL,2023-10-22,0.013,0.8565,0.131,0.9965,172.37666866666666,174.479996,170.83332833333333,172.96000166666667,172.73243733333334,58716500.0
22,AAPL,2023-10-23,0.02,0.857,0.1235,0.9929,170.910004,174.009995,169.929993,173.0,172.772385,55980100.0
23,AAPL,2023-10-24,0.0165,0.9205,0.063,0.9069,173.050003,173.669998,171.449997,173.440002,173.211807,43816600.0
24,AAPL,2023-10-25,0.0165,0.9205,0.063,0.9069,171.880005,173.059998,170.649994,171.100006,170.874893,57157000.0
